,tweet,sentimen
931,monmaap  folls  twt  ngapa  naek  turun  melulu  kea  harga  telor  pasar,Positif
70,turun  drastis  harga  telur  mbah,Positif
1001,kelin  harga  gula  harga  telor  turun,Positif
113,dgnputra  harga  pakan  jagung  harga  telur  turun  bingung  ngitungnya,Positif
296,wakil  ketua  mpr  syarief  hasan  pemerintah  turun  tangan  mencarikan  solusi  harga  telur  ayam  batas  wajar,Positif
1211,ekonomi  lesudisini  harga  telor  ayam  dsb  turunkita  jual  menawarkan  online,Negatif
1249,menteri  ph  harga  telur  turun  sen  turun  diam  pakcik,Positif
705,kecewa  harga  telur  anjlok  peternak  lempar  puluhan  telur  peternak  pakan  harga  harga  telur  turun  ditawar  murah  ditawar  murah  lebih baik  buang,Positif
107,harga  telur  ayam  potong  aceh  turun,Positif
1112,mahal  tadz  ketahuan  belanja  kepasar  harga  telor  turun  harga  cabe  petani  jual  rugiharga  beras  sawer  pengikut  ustdz  plongo  smua,Positif
999,wahcai  ph  fokus  isu  harga  barang  naikisu  ph  selesaiknharga  telur  jer  turun  sentu  sidang  media,Positif
654,harga  telur  turun  musiman,Positif
1159,harga  telur  ayam  ras  banjarmasin  cenderung  turun  pekan  rp,Positif
208,anjloknya  harga  telur  akhirakhir  perhatian  pemerintah  presiden  jokowi  turun  tangan  kondisi  peternak  penyebab  harga  telur  ayam  turun,Positif
1006,harga  telur  ayam  tasikmalaya  turun  tajam,Positif
1136,perhari  harga  ayam  hidup  kandang  cenderung  hpp  harga  telur  konsumsi  turun  lumayan  tajam  dibandingkan  pekan,Positif
1122,prasaan  doang  emg  harga  telor  minggu  trakhir  turun  yak  turun  barusan  jual  turun  banget,Positif
1100,harga  ikan  jatuh  harga  ayam  jatuh  harga  telor  jatuh  harga  cabai  jatuh  nelayan  petani  peternak  rugi  masyarakat  luas  anugerah  disaat  cari  duit  sulit  harga  bahan  pokok  turun  hikmah  musibah,Positif
