"Datetime","Tweet Id","Tweet","Username"
"2021-10-14 23:40:47+00:00","1448795953712885778","Pembelajaran Tatap Muka terbatas wajib terapkan prokes ketat. Jokowi Membangun Negeri https://t.co/uHyWJFrjsb","mhdfatur21"
"2021-10-14 23:40:35+00:00","1448795904555642887","Pembelajaran Tatap Muka terbatas wajib terapkan prokes ketat. Jokowi Membangun Negeri https://t.co/w6NjRDKHzN","mhdfatur21"
"2021-10-14 23:21:26+00:00","1448791083052199955","Satgas Covid-19 Dukung Perguruan Tinggi Melaksanakan Pembelajaran Tatap Muka
https://t.co/ymCVZExIrK
Jokowi Membangun Negeri","arga_zr"
"2021-10-14 23:19:33+00:00","1448790609125203971","Lagi dan lagi. Pembelajaran Tatap Muka (PTM) terbatas tercoreng oleh oknum-oknum siswa yang melakukan tindakan tawuran antar pelajar, tawuran terjadi di Kp. Babakan Sirna, Cilebut, Kabupaten Bogor, tepat di samping rel kereta pada Kamis 14 Oktober 2021 https://t.co/LtsPBourlf","BogordailyN"
"2021-10-14 23:01:32+00:00","1448786077146181662","Anak-anak harus dipastikan siap mengikuti pembelajaran tatap muka (PTM) di sekolah, selain kesiapan pihak sekolah atau orang tua. https://t.co/Y5sqF8jDIw","pantau_com"
"2021-10-14 21:11:12+00:00","1448758311893942280","Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 Jokowi Membangun Negeri https://t.co/L7DoPiAquX","Hanyaisme"
"2021-10-14 20:48:07+00:00","1448752500899672078","Pembelajaran Tatap Muka Siap Dilaksanakan https://t.co/RnjYgIlRHY","f_tarisya"
"2021-10-14 19:15:00+00:00","1448729067138727944","Ingin menggelar Pembelajaran Tatap Muka? Wajib jalankan 4 strategi ini. 
https://t.co/ldRNaGJQia","Dreamcoid"
"2021-10-14 18:36:40+00:00","1448719422693068800","Bupati Sleman, Dra. Hj. Kustini Sri Purnomo secara tegas akan menutup kegiatan pembelajaran tatap muka (PTM) jika ditemukan adanya kasus positif Covid-19.

https://t.co/BFywoV2avt","ayobandungcom"
"2021-10-14 18:34:39+00:00","1448718914280574980","Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 Jokowi Membangun Negeri https://t.co/VB9YNGkvn7","SinarDu21276171"
"2021-10-14 18:03:28+00:00","1448711067236929536","Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 https://t.co/VHE29mYGte","kurakuraninjaid"
"2021-10-14 17:39:11+00:00","1448704955385192450","Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 https://t.co/7SK7vHWnTG","diniambarukmi"
"2021-10-14 17:34:39+00:00","1448703811783049216","@IdrisAShomad Kemana saya menyampaikan keluhan jika terdapat pembelajaran tatap muka sekolah yang tidak sesuai dengan Peraturan Wali Kota (Perwal) Depok Nomor 66 Tahun 2021 tentang Pedoman Penyelenggaraan Pembelajaran Tatap Muka Terbatas (PTMT) di masa pandemi COVID-19.","finarefoltine"
"2021-10-14 17:12:47+00:00","1448698311519576064","Pembelajaran tatap muka guna mendorong kemajuan prestasi siswa. Harus kita dukunggg.. https://t.co/UCA9Mcsb5z","Wikanda15885274"
"2021-10-14 17:03:53+00:00","1448696069555036175","Vaksinasi akan terus digencarkan pemerintah guna mensukseskan pembelajaran tatap muka.

Jokowi Membangun Negeri https://t.co/A8AglAxo63","IndahDyah7"
"2021-10-14 17:03:51+00:00","1448696063133556737","Pembelajaran Tatap Muka guna mendorong kemajuan prestasi siswa di tengah pandem COVID-19.

Jokowi Membangun Negeri https://t.co/kOICzNkLdz","IndahDyah7"
"2021-10-14 16:40:01+00:00","1448690064498708482","Mendikbud-Ristek Nadiem Anwar Makarim mengapresiasi peran bapak/ibu guru yang sangat besar dalam menyukseskan Pembelajaran Tatap Muka terbatas yang telah berlangsung.

Dengan terus menjaga protokol kesehatan yang ketat, ini akan menjadi kebiasaan yang baru.

Jokowi Lawan Pandemi https://t.co/OAlgdm5oqP","BicaraNgeyel"
"2021-10-14 16:05:19+00:00","1448681330749804548","Vaksinasi akan terus digencarkan pemerintah guna mensukseskan pembelajaran tatap muka guna mendorong kemajuan prestasi siswa ditengah pandemi Covid-19.

Jokowi Membangun Negeri https://t.co/8bvvH3t8GZ","ReisyaAmanda2"
"2021-10-14 16:05:11+00:00","1448681300655628290","Vaksinasi akan terus digencarkan pemerintah guna mensukseskan pembelajaran tatap muka guna mendorong kemajuan prestasi siswa ditengah pandemi Covid-19.

Jokowi Membangun Negeri https://t.co/DfHbcnlddN","ReisyaAmanda2"
"2021-10-14 16:05:03+00:00","1448681265889042433","Vaksinasi akan terus digencarkan pemerintah guna mensukseskan pembelajaran tatap muka guna mendorong kemajuan prestasi siswa ditengah pandemi Covid-19.

Jokowi Membangun Negeri https://t.co/1nxRhY3bHH","ReisyaAmanda2"
"2021-10-14 16:04:57+00:00","1448681238550568965","Vaksinasi akan terus digencarkan pemerintah guna mensukseskan pembelajaran tatap muka guna mendorong kemajuan prestasi siswa ditengah pandemi Covid-19.

Jokowi Membangun Negeri https://t.co/7l4L4mSQ6K","ReisyaAmanda2"
"2021-10-14 16:00:11+00:00","1448680041341063172","Prokes perlu diketatkan demi pelaksanaan pembelajaran tatap muka.

Jokowi Membangun Negeri https://t.co/RpRuzsOKlf","AlifJunianto89"
"2021-10-14 16:00:09+00:00","1448680033346670594","Dengan berlangsungnya pembelajaran tatap muka dapat mendorong kemajuan prestasi siswa. 

Jokowi Membangun Negeri https://t.co/xrBtSI5a8c","AlifJunianto89"
"2021-10-14 16:00:07+00:00","1448680021837565957","Vaksinasi anak terus digencarkan pemerintah guna mensukseskan pembelajaran tatap muka.

Jokowi Membangun Negeri https://t.co/YqreI7j48f","AlifJunianto89"
"2021-10-14 15:58:05+00:00","1448679511831171074","Kepanjangan ptm itu pembelajaran tatap muka??
Kukira ujian..","ttearsmono_"
"2021-10-14 15:35:37+00:00","1448673858848886788","@echanxz pembelajaran tatap muka","chacamaarica"
"2021-10-14 15:35:08+00:00","1448673737407021067","@echanxz pembelajaran tatap muka?","Q58haechan"
"2021-10-14 15:29:35+00:00","1448672338279481348","lah beneran udah pembelajaran tatap muka nih?","starfruiet"
"2021-10-14 15:14:04+00:00","1448668432921022466","Pembelajaran Tatap Muka di Sekolah Luar Biasa https://t.co/pE6inEja97 https://t.co/BLoJtQCV7n","KompasTV"
"2021-10-14 14:45:40+00:00","1448661286242324491","sesuai Surat Edaran Nomor 4 Tahun 2021 tentang Penyelenggaraan Pembelajaran Tatap Muka Tahun Akademik 2021/2022.
2. Menuntut pimpinan Universitas Riau untuk segera menyelesaikan proses pemberian almamater mahasiswa tahun angkatan 2020-2021.","himalkomunri"
"2021-10-14 14:41:02+00:00","1448660122255839242","Beberapa hal yang dibahas, yaitu:
1. Sistem perkuliahan tatap muka.
Sebagaimana Dikti telah mengeluarkan surat no 4 tahun 2021 tentang Penyelenggaraan Pembelajaran Tatap Muka, artinya Dikti telah membolehkan perkuliahan tatap muka secara terbatas. https://t.co/w2PUdHke5D","himalkomunri"
"2021-10-14 14:35:32+00:00","1448658739607736328","Zaman sekolah dulu, perayaan maulid Nabi dilakukan di sekolah dan dihitung sebagai hari pembelajaran tatap muka. Dikumpulin di aula sekolah dan didatangkan ustadz untuk memberikan ceramah. Disarankan bawa makanan untuk saling berbagi.","baiksajalah"
"2021-10-14 14:27:30+00:00","1448656717160407040","Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 https://t.co/spo3VGicgq","pertiwi86957822"
"2021-10-14 14:26:57+00:00","1448656577645269008","Polres Kediri Kota mendukung pelaksanaan pembelajaran tatap muka (PTM) di Kota Kediri 

@DivHumas_Polri
@HumasPoldaJatim
@kedirihumas2
@polisi_jatim
@KediriPolice
@humas_restakdr
@virtualpolice_kdrkota
@polsekkdrkota

#KediriKotaBAIK
#polripresisi
#polreskedirikota https://t.co/vhkDBzI2qe","Kedaicintaku1"
"2021-10-14 14:26:02+00:00","1448656347055026184","Cerita Istri Pasha Ungu Soal Pembelajaran Tatap Muka https://t.co/RlXVpvvQ6J","kompaslifestyle"
"2021-10-14 14:19:57+00:00","1448654814468923393","Lagi dan lagi. Pembelajaran Tatap Muka (PTM) tawuran antar pelajar, tawuran terjadi di Kp. Babakan Sirna, Cilebut, Kabupaten Bogor, tepat di samping rel kereta pada Kamis 14 Oktober 2021, pukul 16.00 WIB.

Antara SMK Tri Dharma Kota Bogor dengan SMK YKTB Kota Bogor. https://t.co/7F9JEnBuOS","Irwan2yah"
"2021-10-14 14:01:34+00:00","1448650191620304912","@yippeuda pembelajaran tatap muka ga si","ursaminoralfa"
"2021-10-14 13:59:26+00:00","1448649653000433676","CLOSE. Open besok jam 12.00 WIB karena Virtyn Pembelajaran Tatap Muka (PTM)
Yang mau verif atau unlock mohon bersabar. Tidak menerima yang inrush. No spam/Call di whatsapp. Thanks. Mohon pengertiannya.","czurva"
"2021-10-14 13:53:49+00:00","1448648240061038595","Buat konten semenarik mungkin saat kamu sedang bantu pembelajaran tatap muka terbatas di satuan pendidikan dan dapatkan hadiah 10 media pembelajaran berupa tablet untuk membantu kegiatan pembelajaran di sekolah!

Info lengkapnya cek: https://t.co/FpMWJU7Qw9","ditjendikti"
"2021-10-14 13:52:35+00:00","1448647930387189764","DINAS Pendidikan dan Kebudayaan Kabupaten Boyolali, Jawa Tengah akan memperluas pelaksanaan kegiatan pembelajaran tatap muka (PTM) baik tingkat SD maupun SMP di wilayahnya secara bertahap. Hal ini setelah melandainya penyebaran Covid-19 di Boyolali.
  https://t.co/EqKa5a0KrP","mediaindonesia"
"2021-10-14 13:48:49+00:00","1448646980423467014","Peninjauan pelaksanaan Pembelajaran Tatap Muka (PTM) di SMP 1 Tinombo dan SDN 1 Tinombo https://t.co/LeDf4cEf9A https://t.co/Rfq9gb2M3w","kodim1306"
"2021-10-14 13:41:16+00:00","1448645081427156995","@eoniana pembelajaran tatap muka kayaknya","patjarshylock"
"2021-10-14 13:16:28+00:00","1448638841066344462","Sistem Pembelajaran Tatap Muka Terbatas (PTMT) SMAN 1 Kota Sukabumi Mendapat Apresiasi Publik https://t.co/BjirVCQ1zt","IdisiOnline"
"2021-10-14 13:08:28+00:00","1448636826017624066","Kodim 0732/Sleman Memperkuat Persiapan Menuju Penerapan PTM Terbatas

Kodim 0732/Sleman menggencarkan program vaksinasi bagi pelajar untuk mendukung persiapan pelaksanaan Pembelajaran Tatap Muka (PTM) terbatas, seperti yang dilaksanakan di SMP N 1 Ngemplak Sleman hari ini. https://t.co/S1M2kv8BcJ","Lantari7"
"2021-10-14 13:07:21+00:00","1448636545875918848","Disdikpora menghentikan sementara pembelajaran tatap muka di Sekolah Menengah Pertama Negeri 2 Panggang. Penyebabnya ada tiga siswa yang terkonfirmasi COVID-19. https://t.co/4ywIbG6J9V","voidotid"
"2021-10-14 12:49:27+00:00","1448632042627862535","@booblejjry ptm : pembelajaran tatap muka","cahaechann"
"2021-10-14 12:45:44+00:00","1448631105523830784","Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 https://t.co/Gk3Foap2CQ","AureliaAyudia"
"2021-10-14 12:23:23+00:00","1448625479993344010","Saya sih sangat setuju dengan adanya Pembelajaran Tatap Muka, dapat mendorong prestasi siswa. https://t.co/cGbbYsXq6i","Beritaupdate17"
"2021-10-14 11:49:12+00:00","1448616876636979200","SEMUA PUNYA PERANNYA MASING MASING

PTM Terbatas terus digulirkan. Sudah banyak sekolah yang melakukan Pembelajaran tatap muka terbatas, guru harus memberikan contoh prokes yang baik dan benar, sementara anak didik juga harus selalu taat dan disiplin mengenai prokes. Yuk bisa https://t.co/M1JPftRSYV","YogaPras_"
"2021-10-14 11:17:16+00:00","1448608843177463810","KAMPRET BGT BESOK TERAKHIR PTM ANJRIT, PEMBELAJARAN TATAP MUKA LAGI BULAN DEPAN SOALNYA GANTIAN GITU 😭😭😭😭 https://t.co/uMacELChat","da1syyou"
"2021-10-14 11:09:51+00:00","1448606975432871939","@schfess offline. tp ya mau online ataupun offline ada sisi positif negatif nya si cuman lebih lebih nyaman offline buat diriku ini yg pembelajaran yang emg HARUS dijelasin secara tatap muka 👍🏼👍🏼","ggukiehr"
"2021-10-14 10:59:20+00:00","1448604328952942598","Pembelajaran Tatap Muka Terbatas Tahun Akademik 2021/2022 akan diatur lebih lanjut dengan Surat Edaran tersendiri.

Surat Edaran dapat diakses melalui : https://t.co/kU8aXiCjo0

Narahubung : Anggie (anggiesriannatasya/082145180022)

#InfoKemahasiswaanUnud https://t.co/eTPuRHcmMx","BEM_Udayana"
"2021-10-14 10:59:18+00:00","1448604319964549123","Dimana pembelajaran Tatap Muka Terbatas Tahun Akademik 2021-2022 akan diterapkan secara Hybrid pada beberapa fakultas dan program studi yang telah memenuhi syarat sesuai protokol kesehatan.

Ketentuan lebih lanjut mengenai petunjuk teknis/panduan pelaksanaan https://t.co/g9gOGrAHq6","BEM_Udayana"
