"score","text","klasifikasi"
0,"harga cabai","Netral"
-1,"alghozali impor negri harga negri anjlok dibeli ditahan dilepas harga menggila cabai skrng","Negatif"
0,"harga cabe besok turun","Netral"
0,"harga cabai keriting rawit pasaman jelang ramadan","Netral"
0,"alchamdulilah harga cabai pasar tanjung turun","Netral"
-1,"terpujilah pelit sambel balado harga cabe ngotak harga makanannya","Negatif"
0,"nonton tv berita headline harga cabai petani beli mobil kesannya sirik kuntul petani beli lambo emang rezeki berita tv nasional","Netral"
-1,"video harga daging sapi harga cabai bergerak turun","Negatif"
1,"followers turun kaya harga cabe","Positif"
0,"harga cabe","Netral"
0,"harga cabai rawit merah baturaja tembus rp kg harga cabai rawit merah pasar tradisional baturaja kabupaten ogan komering ulu sumatera selatan menjelang ramadan melonjak tajam menembus angka rp kilogram kg","Netral"
0,"menteri perdagangan sibuk rencana impor beras juta ton harga lada tembus rp cabe","Netral"
-1,"negeri demam harga mbako berbondongbondong menanam tembakau harga cabai berduyunduyun menanam cabai nasib pelaku bahas demam lik bkan bahas saplai deman kebutuhan luas lahan makelar dan lain-lain oya demam korea padal pria korea tytyde cilik pendek","Negatif"
1,"harga cabai petani cabai beli mobil aduh pemasukannya stabil","Positif"
-1,"sok jual mahal banget mentang harga cabe","Negatif"
0,"wahh salah berkah tukang makanan harga cabe","Netral"
0,"istriku khawatir galau tarif listrik bbm pajak kendaraan harga cabai meroket kebutuhan pokok percayalah suamimu menjamin uang belanjamu ikutikutan yakinlah","Netral"
-2,"harga daging sapi pasar mencapai rp ribu perkilogram harga kebutuhan pokok cabai rawit merah mengalami penurunan video harga daging sapi harga cabai bergerak turun","Negatif"
0,"trans jelang ramadhan harga sembilan bahan pokok melonjak daging sapi cabai merah","Netral"
0,"jelang ramadhan harga sembilan bahan pokok melonjak daging sapi cabai merah","Netral"
0,"bukaaa emg libur seminggu grgr harga cabe","Netral"
0,"harga cabe","Netral"
-1,"mitos harga cabe mahal cabe sebiji doang pedes banget pas turun murah pakai biji masak","Negatif"
0,"harga ayam broiler cabe rawit merah sebulan turun","Netral"
0,"banget harga cabe muuciw pepes ikan","Netral"
0,"terpikirkan dikorea harga cabe pasar beli reb biji doang","Netral"
