"Datetime","Tweet Id","Tweet","Username"
"2022-04-23 23:50:23+00:00","1518014454428221440","@hallofeg Setiap manusia selalu melakukan kesalahan, tapi setiap manusia juga selalu memiliki kesempatan untuk jadi lebih baik lagi. Perkara ini selesai sebelum UU TPKS di sah kan, jadi menurut aku saat itu hanyalah cara ini yang bisa membuat adik itu terlepas dari lelaki yang gak baik","NamaKokAden"
"2022-04-23 22:55:32+00:00","1518000648607870977","“Haru dan lega. Itu yang saya rasakan setelah beleid ini disahkan. Bagi saya, pengesahan RUU TPKS menjadi UU adalah hadiah untuk kita semua, terutama seluruh perempuan Indonesia jelang Peringatan Hari Kartini.” –Puan Maharani   https://t.co/jg7LlnsaUk","DanaCacing"
"2022-04-23 22:53:50+00:00","1518000220692369408","Perwakilan pejuang UU TPKS berterima kasih karena Puan Maharani telah merealisasikan komitmennya. https://t.co/LzdautMaR7","DanaCacing"
"2022-04-23 22:46:59+00:00","1517998497580027906","Puan dinilai berperan penting di balik pengesahan UU TPKS lho sobat puan! https://t.co/KlywaxBS1k","DanaCacing"
"2022-04-23 22:46:23+00:00","1517998344588587008","Puan memiliki sensitivitas dan kepedulian yang tinggi terhadap perempuan. Hal itu tergambar ketika Puan menitikkan air mata saat mengesahkan UU TPKS. https://t.co/KlywaxBS1k","DanaCacing"
"2022-04-23 22:44:25+00:00","1517997851262918658","Puan juga terus berkoordinasi dengan pihak Pemerintah, termasuk dengan Presiden Joko Widodo (Jokowi) mengenai UU TPKS. https://t.co/y6RE52h04X","BagusSalmando"
"2022-04-23 22:44:13+00:00","1517997802348896256","@ahiniuwi Bukannya ini bisa dipidana yaa dgn uu tpks?","Dran_sky"
"2022-04-23 22:42:35+00:00","1517997391214825473","Sejak menjadi Menko PMK, Puan memang menjadi salah satu tokoh yang memperjuangkan agar UU TPKS disahkan. https://t.co/bLso5AEe41","BagusSalmando"
"2022-04-23 22:40:39+00:00","1517996904176488453","Puan menegaskan, implementasi UU TPKS nantinya akan dapat menghadapi dan menyelesaikan kasus-kasus kekerasan seksual","BagusSalmando"
"2022-04-23 22:39:52+00:00","1517996708172423170","“UU TPKS adalah hasil kerja bersama sekaligus komitmen bersama kita, untuk menegaskan bahwa di Indonesia tidak ada tempat bagi kekerasan seksual,”  --Puan Maharani","BagusSalmando"
"2022-04-23 22:38:39+00:00","1517996400872595461","“UU TPKS yang kemarin disahkan adalah yang terbaik DPR bisa lakukan untuk masyarakat, khusus kaum perempuan, yang mendambakan payung hukum ini sejak satu dekade silam,” –Puan Maharani https://t.co/8ZSrLB4CKm","BagusSalmando"
"2022-04-23 22:17:40+00:00","1517991121296957440","Legacy Endless Discussion (Legend) ""Kupas Tuntas Pengaturan Hukum Acara Pasca Disahkan UU TPKS"" Ahad, 24 April 2022 https://t.co/WkZzB0lPeR","DaengLalo"
"2022-04-23 21:42:54+00:00","1517982369319333888","Susah-susah tuh perjuangin uu tpks, tapi ada cowo dandan jadi cewek masuk ke toilet cewek, dimaklumi...nggak dipake pikir panjang otaknya https://t.co/Awj9efZdby","kxhzmrxy"
"2022-04-23 21:41:15+00:00","1517981953391140864","Puan menegaskan, keberhasilan realisasi UU TPKS tak luput berkat dukungan dari berbagai elemen masyarakat.","EricaMusllimah"
"2022-04-23 21:40:50+00:00","1517981849892507648","Menurut Puan, pengesahan UU TPKS ini adalah tanda dimulainya peradaban baru Indonesia untuk mencegah berbagai bentuk kekerasan seksual yang sudah darurat. https://t.co/IQLavQ2Xf5","EricaMusllimah"
"2022-04-23 21:40:32+00:00","1517981775867236352","Sikap Puan yang dinilai konsisten dan serius dalam memperjuangkan UU TPKS. https://t.co/IQLavQ2Xf5","EricaMusllimah"
"2022-04-23 21:39:48+00:00","1517981591309406208","Netizen mengapresiasi sikap Puan yang dinilai serius memperjuangkan UU TPKS disahkan menjadi undang – undang. https://t.co/EW02QbEpzx","EricaMusllimah"
"2022-04-23 21:39:04+00:00","1517981404117618688","Puan juga meminta seluruh masyarakat untuk untuk ikut mengawal implementasi UU TPKS. https://t.co/RpRYSDWF0K","EricaMusllimah"
"2022-04-23 21:38:44+00:00","1517981320806211585","Puan mengajak seluruh masyarakat berdoa bersama sebagai ucapan syukur atas hasil perjuangan dalam pengesahan UU TPKS. https://t.co/RpRYSDWF0K","EricaMusllimah"
"2022-04-23 21:37:46+00:00","1517981077939179520","“UU TPKS dan aturan-aturan turunannya akan menjadi pedoman bagi aparat dalam menghadapi dan menyelesaikan kasus-kasus kekerasan seksual,” –Puan Maharani https://t.co/IpX4EeWjqq","EricaMusllimah"
"2022-04-23 21:37:22+00:00","1517980976126734336","Puan pun berpesan agar UU TPKS segera diterjemahkan menjadi aturan-aturan pelaksanaan teknis. https://t.co/foFBYDokkj","EricaMusllimah"
"2022-04-23 21:36:12+00:00","1517980683641434112","Puan Maharani dinilai Penuhi Harapan Kaum Perempuan melalui UU TPKS https://t.co/9tsMz8etJc https://t.co/YIYUjboEGC","yosepwdod"
"2022-04-23 21:35:37+00:00","1517980538388172800","Menurut Puan UU TPKS berhasil disahkan karena adanya kesamaan komitmen antara DPR dan Pemerintah dalam penanggulangan masalah kekerasan seksual. https://t.co/wGK2fU1mjP","lakishasarafi"
"2022-04-23 21:34:22+00:00","1517980223362711552","@AliImro59427815 @Telote5 @implxt @_ANDIBAHTIAR_ @arefun18 @kegblgnunfaedh Kedudukan baca baik-baik noh, terima ga terima itu yg berlaku. Hukumnya bisa dipake salama ga melanggar HAM. Ada kok kaya di link ini. Sebelum nya emang sulit bgt buat mempidana pelaku marital rape, tapi sekarang udah ada uu tpks
https://t.co/EHGb1z9M1g","pnsmarley"
"2022-04-23 21:09:37+00:00","1517973993592332288","@aybmsm Tapi dari tren baliho saya lihat2 mentok di awareness terus nihh WKWKWKWK well maybe ngetok palu pas UU TPKS help as well","bungsubungsut"
"2022-04-23 21:09:32+00:00","1517973972159447040","Apa sebenarnya yang menjadi tujuan pengesahan RUU TPKS ini hingga akhirnya menjadi UU?
#AmbiguitasDemokrasi #IslamLarangZina #SekularismeSuburkanZina","UmmuHanifahNurH"
"2022-04-23 21:08:34+00:00","1517973731129569280","[PODCAST] Ngomong Politik - KSBO Tak Bisa Disolusi dengan UU TPKS

https://t.co/L3VMFGdKC3

#SekularismeSuburkanZina #AmbiguitasDemokrasi #IslamLarangZina","UmmuHanifahNurH"
"2022-04-23 21:08:18+00:00","1517973661856448512","UU TPKS Sah! Tanpa Tunggu Perbaikan KUHP, Melegitimasi Paradigma Liberal?? | Serba-serbi MMC

https://t.co/R9RmHUQpiG

#AmbiguitasDemokrasi #SekularismeSuburkanZina #IslamLarangZina","UmmuHanifahNurH"
"2022-04-23 21:04:59+00:00","1517972827823312896","Puan mengungkap, DPR telah berhasil mengesahkan UU TPKS yang sudah digagas sejak satu dekade lalu.","GinaMuslimati"
"2022-04-23 21:03:04+00:00","1517972347206397952","Terima kasih kepada Ibu Puan dengan kepemimpinannya terus mendorong disahkannya UU TPKS ini. https://t.co/lc7j8JlCfl","GinaMuslimati"
"2022-04-23 21:02:17+00:00","1517972147880468480","Secara khusus Evita menyampaikan pujiannya untuk Puan Maharani yang sejak awal memberikan dedikasinya dan kerja kerasnya untuk mendukung pembahasan dan pengesahan UU TPKS. https://t.co/scpx2kifNk","GinaMuslimati"
"2022-04-23 20:55:59+00:00","1517970564035792896","Sejak menjadi Menko PMK, Puan menjadi salah satu tokoh yang memperjuangkan agar UU TPKS disahkan.","JenniferRizka"
"2022-04-23 20:55:35+00:00","1517970463951327232","Puan menegaskan, implementasi UU TPKS nantinya akan dapat menghadapi dan menyelesaikan kasus-kasus kekerasan seksual.","JenniferRizka"
"2022-04-23 20:54:10+00:00","1517970104645918720","Puan menyampaikan terima kasih kepada Pemerintah atas kerja samanya dalam penyusunan UU TPKS. https://t.co/yxZrSkBFd3","lakishasarafi"
"2022-04-23 20:53:19+00:00","1517969891105533952","“Sekalipun banyak korban kekerasan seksual datang dari kaum perempuan, tapi saya tahu betul banyak sekali kalangan laki-laki yang ikut memperjuangkan UU TPKS. Semua pihak terus berpartisipasi,”—Puan Maharani https://t.co/wGK2fU1mjP","lakishasarafi"
"2022-04-23 20:52:48+00:00","1517969761694470144","Puan berkali-kali melakukan audiensi dengan perwakilan organisasi masyarakat, pakar dari perguruan tinggi, mahasiswa, pegiat media sosial, hingga perwakilan masyarakat lintas profesi yang concern terhadap UU TPKS.","lakishasarafi"
"2022-04-23 20:50:40+00:00","1517969226266333184","Puan memberi penghargaan untuk para aktivis, akademisi, dan tokoh lintas keilmuan yang ikut bersumbangsih agar substansi dari UU TPKS menjadi lebih konstruktif dan mewakili semua kepentingan. https://t.co/wGK2fU1mjP","lakishasarafi"
"2022-04-23 20:48:59+00:00","1517968801207255041","“UU TPKS bisa terwujud atas upaya bersama seluruh elemen Bangsa, termasuk masyarakat sipil yang terus menggaungkan, menyumbang ide dan pemikiran,” –Puan Maharani https://t.co/UU6xaobcwj","lakishasarafi"
"2022-04-23 20:48:30+00:00","1517968679782141952","Puan Maharani mengapresiasi seluruh pihak yang ikut membantu mewujudkan pengesahan UU Tindak Pidana Kekerasan Seksual (TPKS). https://t.co/UU6xaobcwj","lakishasarafi"
"2022-04-23 20:41:13+00:00","1517966848838729728","@jhon_adan @Jangmirse @sanninlejen @NasiNempelKaki @kegblgnunfaedh Heem sebenarnya kalo mau paham di islam pun harus menggauli istri dengan akhlak yg baik sih, memaksa kan bukan hal yg baik. Jadi kalo beneran mengamalkan pasti sadar diri. Terus kalo lo emang ga update coba cari uu tpks yg baru disahkan. Ya mau hukum agama lo misalnya beneran","pnsmarley"
"2022-04-23 20:37:53+00:00","1517966007020654592","Perwakilan pejuang UU TPKS berterima kasih karena Puan Maharani telah merealisasikan komitmennya. https://t.co/4wNs1krO0V","Andirayuu"
"2022-04-23 20:34:33+00:00","1517965167870746624","Apa sebenarnya yang menjadi tujuan pengesahan RUU TPKS ini hingga akhirnya menjadi UU?
#AmbiguitasDemokrasi #IslamLarangZina #SekularismeSuburkanZina","MursiyahA"
"2022-04-23 20:25:53+00:00","1517962989525078016","UU TPKS Sah! Tanpa Tunggu Perbaikan KUHP, Melegitimasi Paradigma Liberal?? | Serba-serbi MMC

https://t.co/qCiZPFhjHy

#AmbiguitasDemokrasi #SekularismeSuburkanZina #IslamLarangZina","Qist40778675"
"2022-04-23 20:18:59+00:00","1517961251858489344","[PODCAST] Ngomong Politik - KSBO Tak Bisa Disolusi dengan UU TPKS

https://t.co/Cul0gws34q

#AmbiguitasDemokrasi #SekularismeSuburkanZina #IslamLarangZina","Qist40778675"
"2022-04-23 19:52:31+00:00","1517954592754913280","Puan mengatakan, pengesahan UU TPKS menjadi undang-undang merupakan bentuk hadiah bagi para perempuan di Indonesia menjelang Hari Kartini. https://t.co/ZvA2VuIt3G","Melissaharapih"
"2022-04-23 19:40:40+00:00","1517951609200058369","Keberpihakan Puan pada isu perempuan, khususnya UU TPKS tunjukkan dirinya tegas dalam membela kepentingan perempuan.","JenniferRizka"
"2022-04-23 19:40:06+00:00","1517951465142513664","Hal ini dilihat dari bagaimana Puan Maharani menempatkan diri serta mendorong perjuangan UU TPKS di DPR secara maksimal.","JenniferRizka"
"2022-04-23 19:27:32+00:00","1517948302523715584","Puan mengungkap, DPR telah berhasil mengesahkan UU TPKS yang sudah digagas sejak satu dekade lalu.","azan_pratama"
"2022-04-23 19:27:14+00:00","1517948227340759040","Terima kasih kepada Ibu Puan dengan kepemimpinannya terus mendorong disahkannya UU TPKS ini. https://t.co/ZuzmOktuVV","azan_pratama"
"2022-04-23 19:27:09+00:00","1517948206880935936","Secara khusus Evita menyampaikan pujiannya untuk Puan Maharani yang sejak awal memberikan dedikasinya dan kerja kerasnya untuk mendukung pembahasan dan pengesahan UU TPKS. https://t.co/gvM8KlJ4ei","azan_pratama"
"2022-04-23 19:02:02+00:00","1517941886417129472","Puan mengungkap, DPR telah berhasil mengesahkan UU TPKS yang sudah digagas sejak satu dekade lalu.","diasnurhadi"
"2022-04-23 18:57:47+00:00","1517940819138732033","Sejak menjadi Menko PMK, Puan menjadi salah satu tokoh yang memperjuangkan agar UU TPKS disahkan.","felipiazit"
"2022-04-23 18:57:37+00:00","1517940774452690944","Puan menegaskan, implementasi UU TPKS nantinya akan dapat menghadapi dan menyelesaikan kasus-kasus kekerasan seksual.","felipiazit"
"2022-04-23 18:56:39+00:00","1517940533208879104","Keberpihakan Puan pada isu perempuan, khususnya UU TPKS tunjukkan dirinya tegas dalam membela kepentingan perempuan.","Nordiliea"
"2022-04-23 18:56:27+00:00","1517940480520060934","Hal ini dilihat dari bagaimana Puan Maharani menempatkan diri serta mendorong perjuangan UU TPKS di DPR secara maksimal.","Nordiliea"
"2022-04-23 18:39:08+00:00","1517936123808473088","@Kalpanax14 @tacenda_______ 1 “persetujuan untuk melakukan hubungan seksual” yang berada pada Bab V Pasal 16 UU TPKS. disitu jls bhw slma kedua belah pihak setuju, boleh tdk mengindahkan pernikahan diantaranya, ataupun karena asal dasar suka sama suka, itu sm sj melegalkn seks bebas!","cere48478321"
"2022-04-23 18:28:25+00:00","1517933427084865536","Puan mengungkap, DPR telah berhasil mengesahkan UU TPKS yang sudah digagas sejak satu dekade lalu.","anakmanislewat"
"2022-04-23 18:28:04+00:00","1517933339050913793","Puan Maharani: Lahirnya UU TPKS Menjadi Bagian Terpisahkan https://t.co/NsYjfWUszU","Baranewsaceh"
"2022-04-23 18:28:00+00:00","1517933322877698049","Puan: UU TPKS Kado untuk Masyarakat Indonesia Jelang Hari Kartini https://t.co/3tqFKCpy7Q","Baranewsaceh"
"2022-04-23 18:21:43+00:00","1517931740844937216","UU TPKS Sah! Tanpa Tunggu Perbaikan KUHP, Melegitimasi Paradigma Liberal?? | Serba-serbi MMC

https://t.co/ygP6mDpf5C

#AmbiguitasDemokrasi #SekularismeSuburkanZina #IslamLarangZina","Mikir1573"
"2022-04-23 18:21:30+00:00","1517931684934856704","[PODCAST] Ngomong Politik - KSBO Tak Bisa Disolusi dengan UU TPKS

https://t.co/AOc3ujdIjJ

#SekularismeSuburkanZina #AmbiguitasDemokrasi #IslamLarangZina","Mikir1573"
"2022-04-23 18:21:17+00:00","1517931631155507200","[PODCAST] Ngomong Politik - KSBO Tak Bisa Disolusi dengan UU TPKS

https://t.co/AOc3ujdIjJ

#AmbiguitasDemokrasi #SekularismeSuburkanZina #IslamLarangZina","Mikir1573"
"2022-04-23 18:20:23+00:00","1517931406433058816","Apa sebenarnya yang menjadi tujuan pengesahan RUU TPKS ini hingga akhirnya menjadi UU?
#AmbiguitasDemokrasi #IslamLarangZina #SekularismeSuburkanZina","Mikir1573"
"2022-04-23 18:18:41+00:00","1517930977687142400","UU TPKS, Mencegah Kekerasan Seksual dengan Seksual Konsen yang Membolehkan Zina? https://t.co/SmctegjaBi","radarkotanews"
"2022-04-23 18:06:02+00:00","1517927793635434497","Ini Ketentuan Pidana yang Diatur UU TPKS

https://t.co/WWNNdxJI1v","GATRA_com"
"2022-04-23 18:03:32+00:00","1517927163898466305","UU TPKS

Yg kemaren menolak UU TPKS dipastikan perilakunya tidak senang adanya kesetaraan gender dan menganggap diskrminasi pd wanita itu hal biasa. https://t.co/BOWueppLmB","Homo_sapiens21"
"2022-04-23 17:41:36+00:00","1517921647298514944","Puan Desak Pemerintah Selesaikan Aturan Turunan UU TPKS

#PDIPerjuangan 
#PDIPerjuanganJabar
#PDIPerjuanganKabBandung https://t.co/D3FXvdqYAw","ShafinaRamad"
"2022-04-23 17:10:38+00:00","1517913852523950080","@Ventt13 @tacenda_______ @1337_krew @mager_miss Lalu Dari konstruksi UU TPKS itu, apkah bersetubuh karena suka sama suka sebelum nikah dilarang?apakah bersetubuh sesama jenis dilarang?","cere48478321"
"2022-04-23 17:09:42+00:00","1517913619094142976","“UU TPKS adalah hasil kerja bersama sekaligus komitmen bersama kita, untuk menegaskan bahwa di Indonesia tidak ada tempat bagi kekerasan seksual,”  --Puan Maharani","AyuNurhalizaa"
"2022-04-23 17:05:05+00:00","1517912453442863105","Sejak menjadi Menko PMK, Puan menjadi salah satu tokoh yang memperjuangkan agar UU TPKS disahkan.","Gugunlol12"
