"score","text","klasifikasi"
0,"jbharga ayam rm tgk telor wyam papan rm depend gred","Netral"
0,"diri di atas kaki sendiri serap telur ternak stabil harga","Netral"
-1,"sebab harga telur anjlok versi dagang kaget","Negatif"
1,"turun minta masyarakat telur ayam ppkm level jawa bal harga telur ayam daerah jawa bal anjlok rupiah kilogramnyapara ternak ayam telur keluh gulung tikar","Positif"
-1,"ternak ayam telur aku rugi ratus juta rupiah bulan harga pakan ayam telur pasarananjloknya harga jual telur ayam situasi ppkm sebab turun minta","Negatif"
-2,"harga jual telur ayam solo raya anjlok iniharga ecer telur ayam negeri pasar tradisional warung berandol rp kilogramnyatentu rumah tangga usaha kuliner bahan dasar telur ayam girang","Negatif"
-1,"harga telur anjlok rp kg perintah bantu ternak ayam","Negatif"
0,"ikut main telur bareng voucher potong harga belanja hhe","Netral"
-1,"telor geprek abah uya selera bohong harga murmer","Negatif"
-1,"beli order telur set telur mcd scam bayar harga set telur set pulak kandung kecewa","Negatif"
0,"naspad sederhana emang mahal naspad sederhana harga sederhana nasisayursambeltelur ayam kisar harga rbrb rendangdendeng rban","Netral"
1,"harga telur murah banget anj cepat sembuh","Positif"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
1,"borong telur harga normal borong telurtelur bagi santrisantri pondok bagi keluarga pra sejahtera bantu jaga harap ternak klik","Positif"
-1,"dongkrak harga diri di atas kaki sendiri serap telur ternak","Negatif"
1,"serap telur laksana tahap dongkrak harga beli tingkat ternak sesuai harga acu beli hap","Positif"
0,"gim harga telor buln bwah hpp ternak rakyat","Netral"
-1,"efek harga minyak goreng lambung martabak telor langgan ambyar garagara pakai minyak abalabal","Negatif"
-3,"telur ayam murah banget hikz kasihan saudara pusing harga anjlok","Negatif"
1,"tengah harga telor ayam tingkat tani sahabat koperasi lumbungbumi sejahtera fasilitas hubung ternak industri pasar telor sehat vaksin obat kimia sintetis","Positif"
-1,"capek tenaga capek pikir untung alami usaha ayam telur hajar harga murah minus hari tambah konflik tetangga salah im quit","Negatif"
-2,"harga telur turun hasil ramai beli telur minggu beli papan telur campur telur elok telur busuk","Negatif"
-1,"harga telur pacitan anjlok ternak kelimpungan","Negatif"
-1,"anjlok harga telur ayam angsur normal","Negatif"
-1,"anjlok harga telur ayam angsur normal","Negatif"
0,"pantesan harga telur murah biang keladi","Netral"
2,"produk sinar multi satwa bantu proses pematang telur sperma induk dapat produk tawar harga baik minapoli beli","Positif"
-1,"nasi padang benerbener pakai telor pakai ikan kepala kakap ayam topping harga tetep gede","Negatif"
0,"informasi bbrp harga sembilan bahan pokok baput kating kg bamer pb kg pakcoy kg cabai rawit kg terong kg timun kg caisim kg oyong kg telur kg informasi dm surabayasidoarjo","Netral"
0,"sebab harga telur ayam turun","Netral"
-1,"ternak tengah jerit akibat pakan mahal harga telur anjlok","Negatif"
3,"pa tawar nasi box giat bagi besok kenan order harga ribu menu nasi uduk telor rebus bihun orek tempekrupuk sambel maaf ganggu jbjb","Positif"
-1,"produksi tingkat pandemi harga telur anjlok","Negatif"
0,"komoditas alami turun harga telur ayam broiler","Netral"
-2,"kedai only rumah delivery fee rm roti telur rm harga malas harga kapitalis","Negatif"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
