tweet,polaritas,sentimen
"['jbharga', 'ayam', 'rm', 'tgk', 'telor', 'wyam', 'sepapan', 'rm', 'depend', 'gred']",-2,Negatif
"['berdiri', 'di', 'atas', 'kaki', 'sendiri', 'serap', 'telur', 'peternak', 'stabilkan', 'harga']",-2,Negatif
"['penyebab', 'harga', 'telur', 'anjlok', 'versi', 'pedagang', 'kaget']",-1,Negatif
"['turunnya', 'permintaan', 'masyarakat', 'telur', 'ayam', 'ppkm', 'level', 'jawa', 'bali', 'harga', 'telur', 'ayam', 'daerah', 'jawa', 'bali', 'anjlok', 'rupiah', 'kilogramnyapara', 'peternak', 'ayam', 'petelur', 'mengeluhkan', 'gulung', 'tikar']",-1,Negatif
"['peternak', 'ayam', 'petelur', 'mengaku', 'merugi', 'ratusan', 'juta', 'rupiah', 'bulannya', 'harga', 'pakan', 'ayam', 'petelur', 'pasarananjloknya', 'harga', 'jual', 'telur', 'ayam', 'situasi', 'ppkm', 'menyebabkan', 'turunnya', 'permintaan']",1,Positif
"['harga', 'jual', 'telur', 'ayam', 'solo', 'raya', 'anjlok', 'iniharga', 'eceran', 'telur', 'ayam', 'negeri', 'pasar', 'tradisional', 'warung', 'berandol', 'rp', 'kilogramnyatentu', 'rumah', 'tangga', 'pengusaha', 'kuliner', 'berbahan', 'dasar', 'telur', 'ayam', 'kegirangan']",-5,Negatif
"['harga', 'telur', 'anjlok', 'rp', 'kg', 'pemerintah', 'bantu', 'peternak', 'ayam']",-2,Negatif
"['ikutan', 'main', 'telur', 'bareng', 'voucher', 'potongan', 'harga', 'belanja', 'hhe']",15,Positif
"['telor', 'geprek', 'abah', 'uya', 'selera', 'bohong', 'harga', 'murmer']",4,Positif
"['beli', 'order', 'telur', 'set', 'telur', 'mcd', 'scam', 'bayar', 'harga', 'set', 'telur', 'set', 'pulak', 'mengandung', 'kecewa']",1,Positif
"['naspad', 'sederhana', 'emang', 'mahal', 'naspad', 'sederhana', 'harganya', 'sederhana', 'nasisayursambeltelur', 'ayam', 'kisaran', 'harga', 'rbrb', 'rendangdendeng', 'rban']",14,Positif
"['harga', 'telur', 'murah', 'banget', 'anj', 'cepat', 'sembuh']",14,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'selem', 'telor', 'lenjer', 'adaan', 'lenjer', 'kulit', 'paketan', 'harga', 'terjangkau', 'minat', 'order', 'dm']",17,Positif
"['borong', 'telur', 'harga', 'normal', 'diborong', 'telurtelur', 'bagikan', 'santrisantri', 'pondok', 'dibagikan', 'keluarga', 'pra', 'sejahtera', 'bantu', 'jaga', 'harapan', 'peternak', 'klik']",21,Positif
"['dongkrak', 'harga', 'berdiri', 'di', 'atas', 'kaki', 'sendiri', 'serap', 'telur', 'peternak']",-5,Negatif
"['penyerapan', 'telur', 'dilaksanakan', 'bertahap', 'mendongkrak', 'harga', 'pembelian', 'tingkat', 'peternak', 'sesuai', 'harga', 'acuan', 'pembelian', 'hap']",10,Positif
"['giman', 'harga', 'telor', 'buln', 'bwah', 'hpp', 'peternak', 'rakyat']",3,Positif
"['efek', 'harga', 'minyak', 'goreng', 'melambung', 'martabak', 'telor', 'langganan', 'ambyar', 'garagara', 'pakai', 'minyak', 'abalabal']",13,Positif
"['telur', 'ayam', 'murah', 'banget', 'hikz', 'kasihan', 'saudara', 'pusing', 'harga', 'anjlok']",1,Positif
"['ditengah', 'harga', 'telor', 'ayam', 'tingkat', 'petani', 'bersahabat', 'koperasi', 'lumbungbumi', 'sejahtera', 'memfasilitasi', 'menghubungkan', 'peternak', 'industri', 'pasar', 'telor', 'sehat', 'vaksin', 'obat', 'kimia', 'sintetis']",13,Positif
"['capek', 'tenaga', 'capek', 'pikiran', 'untungnya', 'alami', 'usaha', 'ayam', 'telur', 'hajar', 'harga', 'murah', 'minus', 'perharinya', 'ditambah', 'konflik', 'tetangga', 'salah', 'im', 'quit']",6,Positif
"['harga', 'telur', 'turun', 'hasilnya', 'ramai', 'beli', 'telur', 'minggu', 'beli', 'papan', 'telur', 'campur', 'telur', 'elok', 'telur', 'busuk']",14,Positif
"['harga', 'telur', 'pacitan', 'anjlok', 'peternak', 'kelimpungan']",-1,Negatif
"['anjlok', 'harga', 'telur', 'ayam', 'berangsur', 'normal']",-5,Negatif
"['anjlok', 'harga', 'telur', 'ayam', 'berangsur', 'normal']",-5,Negatif
"['before', 'ambik', 'kesah', 'pasal', 'produk', 'mary', 'kay', 'mertua', 'set', 'mk', 'sedap', 'pulak', 'pakai', 'soft', 'glowing', 'skin', 'survey', 'sikit', 'harga', 'tahan', 'harga', 'nak', 'sambung', 'pakai', 'lepas']",3,Positif
"['pantesan', 'harga', 'telur', 'murah', 'biang', 'keladinya']",1,Positif
"['produk', 'sinar', 'multi', 'satwa', 'membantu', 'proses', 'pematangan', 'telur', 'sperma', 'induk', 'dapatkan', 'produknya', 'penawaran', 'harga', 'terbaik', 'minapoli', 'beli']",20,Positif
"['nasi', 'padang', 'benerbener', 'pakai', 'telor', 'pakai', 'ikan', 'kepala', 'kakap', 'ayam', 'topping', 'harga', 'tetep', 'gede']",5,Positif
"['informasi', 'bbrp', 'harga', 'sembilan', 'bahan', 'pokok', 'baput', 'kating', 'kg', 'bamer', 'pb', 'kg', 'pakcoy', 'kg', 'cabai', 'rawit', 'kg', 'terong', 'kg', 'timun', 'kg', 'caisim', 'kg', 'oyong', 'kg', 'telur', 'kg', 'informasi', 'dm', 'surabayasidoarjo']",3,Positif
"['penyebab', 'harga', 'telur', 'ayam', 'turun']",-1,Negatif
"['nak', 'berlagak', 'nak', 'cakap', 'duit', 'shopping', 'menjenguk', 'harga']",5,Positif
"['peternak', 'menengah', 'menjerit', 'akibat', 'pakan', 'mahal', 'harga', 'telur', 'anjlok']",0,Positif
"['pa', 'menawarkan', 'nasi', 'box', 'kegiatan', 'berbagi', 'besok', 'berkenan', 'order', 'harga', 'ribuan', 'menu', 'nasi', 'uduk', 'telor', 'rebus', 'bihun', 'orek', 'tempekrupuk', 'sambel', 'maaf', 'ganggu', 'jbjb']",1,Positif
"['produksinya', 'meningkat', 'pandemi', 'harga', 'telur', 'anjlok']",-5,Negatif
"['komoditas', 'mengalami', 'penurunan', 'harga', 'telur', 'ayam', 'broiler']",-1,Negatif
"['kedai', 'only', 'rumah', 'delivery', 'fee', 'rm', 'roti', 'telur', 'rm', 'harga', 'kemalasan', 'harga', 'kapitalis']",8,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'selem', 'telor', 'lenjer', 'adaan', 'lenjer', 'kulit', 'paketan', 'harga', 'terjangkau', 'minat', 'order', 'dm']",17,Positif
"['gonjangganjing', 'telur', 'ayam', 'selesai', 'peternak', 'difasilitasi', 'harga', 'jagung', 'rp', 'kg', 'menyelesaikan', 'akar', 'permasalahan', 'baca', 'artikel', 'suara', 'merdeka', 'ironi', 'telur', 'jagung']",4,Positif
"['peternak', 'demo', 'harga', 'ayam', 'telur', 'kementan', 'pastikan', 'kericuhan']",4,Positif
"['kosambi', 'oktober', 'kiriman', 'harga', 'telur', 'blitar', 'diterima', 'kota', 'kosambi', 'harga', 'rp', 'sekian', 'terimakasih']",14,Positif
"['harga', 'telur', 'gulung']",3,Positif
"['harga', 'telur', 'gulung']",3,Positif
"['harga', 'telor', 'daging', 'ayam', 'turunkok', 'harga', 'benang', 'kurun', 'seminggu', 'gaezzwat']",2,Positif
"['lupa', 'bayaran', 'sekolah', 'uang', 'buku', 'uang', 'seragam', 'uang', 'study', 'ongkos', 'nilai', 'anak', 'jelek', 'harga', 'bawang', 'harga', 'telor', 'melambung', 'remeh', 'temeh', 'kadang', 'rumah', 'berasa', 'medan', 'perang', 'tegang', 'bossss']",20,Positif
"['distributor', 'telor', 'ayam', 'harga', 'bagus', 'kirim', 'jabodetabek', 'jabodetabek']",5,Positif
"['kementan', 'kericuhan', 'demo', 'peternak', 'unggas', 'mandiri', 'terkait', 'harga', 'jual', 'ayam', 'telur', 'anjlok', 'harga', 'produksi']",-5,Negatif
