tweet,sentimen
"['menangani', 'kekerasan', 'seksual', 'disahkan', 'enam', 'dibahas', 'dewan', 'perwakilan', 'rakyat', 'mengesahkan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'selasa', 'april']",Positif
"['menangani', 'kekerasan', 'seksual', 'disahkan', 'enam', 'dibahas', 'dewan', 'perwakilan', 'rakyat', 'mengesahkan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'selasa', 'april']",Positif
"['wakil', 'mpr', 'ri', 'mahasiswa', 'kawal', 'implementasi']",Negatif
"['fadel', 'muhammad', 'mahasiswa', 'kawal', 'implementasi']",Negatif
"['tanggal', 'chatnya', 'april', 'dijerat']",Negatif
"['kelakuan', 'gini', 'ranah']",Netral
"['membuka', 'sistem', 'peradilan', 'diharapkan', 'implementasinya', 'ks', 'diselesaikan', 'adil', 'korban', 'pelaku']",Negatif
"['mochammad', 'abizar', 'yusro', 'terang', 'sinar', 'perlindungan', 'kartini']",Negatif
"['pengesahan', 'undang', 'undang', 'bentuk', 'hadiah', 'perempuan', 'indonesia', 'menjelang', 'kartini']",Positif
"['ri', 'penghargaan', 'elemen', 'perempuan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
"['haru', 'lega', 'rasakan', 'beleid', 'disahkan', 'pengesahan', 'hadiah', 'perempuan', 'indonesia', 'jelang', 'peringatan', 'kartini']",Positif
"['sah', 'tunggu', 'perbaikan', 'kuhp', 'melegitimasi', 'paradigma', 'liberal', 'serbaserbi', 'mmc']",Positif
"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
"['implementasi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual', 'perlindungan', 'perempuan', 'anak', 'indonesia']",Negatif
"['dinilai', 'berperan', 'pengesahan', 'sobat']",Positif
"['memiliki', 'sensitivitas', 'kepedulian', 'perempuan', 'tergambar', 'menitikkan', 'air', 'mengesahkan']",Positif
"['berkoordinasi', 'pemerintah', 'presiden', 'joko', 'widodo', 'jokowi']",Positif
"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
"['hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual']",Positif
"['seiring', 'berlakunya', 'pemangku', 'kepentingan', 'masukan', 'konstruktif', 'kesempurnaan', 'aturan', 'hukum']",Positif
"['kemarin', 'disahkan', 'terbaik', 'lakukan', 'masyarakat', 'kaum', 'perempuan', 'mendambakan', 'payung', 'hukum', 'dekade', 'silam']",Positif
"['keberhasilan', 'realisasi', 'luput', 'berkat', 'dukungan', 'elemen', 'masyarakat']",Negatif
"['pengesahan', 'tanda', 'peradaban', 'indonesia', 'mencegah', 'bentuk', 'kekerasan', 'seksual', 'darurat']",Positif
"['sikap', 'dinilai', 'konsisten', 'serius', 'memperjuangkan']",Netral
"['netizen', 'mengapresiasi', 'sikap', 'dinilai', 'serius', 'memperjuangkan', 'disahkan', 'undang', 'undang']",Positif
"['masyarakat', 'mengawal', 'implementasi']",Netral
"['mengajak', 'masyarakat', 'berdoa', 'ucapan', 'syukur', 'hasil', 'perjuangan', 'pengesahan']",Positif
"['aturanaturan', 'turunannya', 'pedoman', 'aparat', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Negatif
"['berpesan', 'diterjemahkan', 'aturanaturan', 'pelaksanaan', 'teknis']",Negatif
"['terima', 'kasih', 'pemerintah', 'samanya', 'penyusunan']",Positif
"['mengapresiasi', 'membantu', 'mewujudkan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
"['manusia', 'kesalahan', 'manusia', 'memiliki', 'kesempatan', 'perkara', 'selesai', 'sah', 'adik', 'terlepas', 'lelaki']",Negatif
"['haru', 'lega', 'rasakan', 'beleid', 'disahkan', 'pengesahan', 'hadiah', 'perempuan', 'indonesia', 'jelang', 'peringatan', 'kartini']",Positif
"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
"['dinilai', 'berperan', 'pengesahan', 'sobat']",Positif
"['memiliki', 'sensitivitas', 'kepedulian', 'perempuan', 'tergambar', 'menitikkan', 'air', 'mengesahkan']",Positif
