tweet,polaritas,sentimen
"['jbharga', 'ayam', 'rm', 'tgk', 'telor', 'wyam', 'papan', 'rm', 'depend', 'gred']",-2,Negatif
"['diri', 'di', 'atas', 'kaki', 'sendiri', 'serap', 'telur', 'ternak', 'stabil', 'harga']",-2,Negatif
"['sebab', 'harga', 'telur', 'anjlok', 'versi', 'dagang', 'kaget']",5,Positif
"['turun', 'minta', 'masyarakat', 'telur', 'ayam', 'ppkm', 'level', 'jawa', 'bal', 'harga', 'telur', 'ayam', 'daerah', 'jawa', 'bal', 'anjlok', 'rupiah', 'kilogramnyapara', 'ternak', 'ayam', 'telur', 'keluh', 'gulung', 'tikar']",-1,Negatif
"['ternak', 'ayam', 'telur', 'aku', 'rugi', 'ratus', 'juta', 'rupiah', 'bulan', 'harga', 'pakan', 'ayam', 'telur', 'pasarananjloknya', 'harga', 'jual', 'telur', 'ayam', 'situasi', 'ppkm', 'sebab', 'turun', 'minta']",5,Positif
"['harga', 'jual', 'telur', 'ayam', 'solo', 'raya', 'anjlok', 'iniharga', 'ecer', 'telur', 'ayam', 'negeri', 'pasar', 'tradisional', 'warung', 'berandol', 'rp', 'kilogramnyatentu', 'rumah', 'tangga', 'usaha', 'kuliner', 'bahan', 'dasar', 'telur', 'ayam', 'girang']",-5,Negatif
"['harga', 'telur', 'anjlok', 'rp', 'kg', 'perintah', 'bantu', 'ternak', 'ayam']",-2,Negatif
"['ikut', 'main', 'telur', 'bareng', 'voucher', 'potong', 'harga', 'belanja', 'hhe']",8,Positif
"['telor', 'geprek', 'abah', 'uya', 'selera', 'bohong', 'harga', 'murmer']",4,Positif
"['beli', 'order', 'telur', 'set', 'telur', 'mcd', 'scam', 'bayar', 'harga', 'set', 'telur', 'set', 'pulak', 'kandung', 'kecewa']",4,Positif
"['naspad', 'sederhana', 'emang', 'mahal', 'naspad', 'sederhana', 'harga', 'sederhana', 'nasisayursambeltelur', 'ayam', 'kisar', 'harga', 'rbrb', 'rendangdendeng', 'rban']",14,Positif
"['harga', 'telur', 'murah', 'banget', 'anj', 'cepat', 'sembuh']",14,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'lem', 'telor', 'lenjer', 'ada', 'lenjer', 'kulit', 'paket', 'harga', 'jangkau', 'minat', 'order', 'dm']",17,Positif
